"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.5.1","Likutei Moharan.112","https://www.sefaria.org.il/Likutei_Moharan.112","על ידי העזות והתורה יודעין את התפלה איזה תפלה מבלבלת אותו כי עקר התורה על ידי עזות דקדשה וכו וכו וזה בחינת סימן הביצה שהוא ביעי בלשון תרגום בחינת צלותא ובעותא ראשו אחד כד זה בחינת התורה בחינת כ ד ספרין דאוריתא עשרים וארבעה","k_of_n","6/40 words match (window=""על ידי העזות והתורה יודעין את התפלה איזה תפלה מבלבלת אותו כי עקר התורה על ידי עזות דקדשה וכו וכו שהוא ביעי בלשון תרגום בחינת צלותא ובעותא ראשו אחד כד זה בחינת התורה בחינת כ ד ספרין דאוריתא עשרים וארבעה"")","6/40","Likutei Moharan.112.5.1","https://www.sefaria.org.il/Likutei_Moharan.112.5.1","ויש בכלל דברים הנ""ל ענינים גבוהים בענין התפלה, לכל אחד לפי מדרגתו. ובענין זה נכלל ענין כוכבים ומזלות, איך נעשים בבחינת התפלה, והוא נותן שפע לכל דבר. וענין מה שאמרו חכמינו זכרונם לברכה (ב""ר פ' י): אין לך כל עשב שאין לו כוכב וכו', כי הוא משפיע לכל בדבוריו האמתיים.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.6.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.6.1","Likutei Moharan.55","https://www.sefaria.org.il/Likutei_Moharan.55","כד וחד זה בחינת עגולים וישר הינו אמונה ושכל כנ ל ועל כן שני ראשיה כדין או שני ראשיה חדין הוא בודאי סימן טמאה כי שני ראשיה כדין זה בחינת אמונות כוזביות שהוא כסילות לגמרי בלי שום שכל ושני ראשיה חדין זה בחינת שכל","k_of_n","7/40 words match (window=""כד וחד זה בחינת עגולים וישר הינו אמונה ושכל כנ ל ועל כן שני ראשיה כדין או שני ראשיה חדין כי שני ראשיה כדין זה בחינת אמונות כוזביות שהוא כסילות לגמרי בלי שום שכל ושני ראשיה חדין זה בחינת שכל"")","7/40","Likutei Moharan.55.1.2","https://www.sefaria.org.il/Likutei_Moharan.55.1.2","א דע, כי לראות במפלתם של רשעים אי אפשר אלא עלידי בחינת ארץ ישראל, בבחינת (תהילים ק״י:א׳): שב לימיני עד אשית אויביך הדם לרגליך. ימין, זה בחינת ארץ ישראל, בחינת בנימין, בן ימין, שנולד בארץ ישראל (כמובא בפירש""י פרשת וישלח):","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.6.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.6.1","Likutei Moharan.55","https://www.sefaria.org.il/Likutei_Moharan.55","בחינת אמונות כוזביות שהוא כסילות לגמרי בלי שום שכל ושני ראשיה חדין זה בחינת שכל לבד בלי אמונה ושני בחינות אלו הם סימן טמאה כי עקר שלמות הקדשה הוא על ידי אמונה ושכל דהינו אמונה דקדשה אמונת ישראל ואמונה ושכל זה בחינת כד וחד","k_of_n","7/40 words match (window=""בחינת אמונות כוזביות שהוא כסילות לגמרי בלי שום שכל ושני ראשיה חדין זה בחינת שכל לבד בלי אמונה ושני בחינות כי עקר שלמות הקדשה הוא על ידי אמונה ושכל דהינו אמונה דקדשה אמונת ישראל ואמונה ושכל זה בחינת כד וחד"")","7/40","Likutei Moharan.55.1.2","https://www.sefaria.org.il/Likutei_Moharan.55.1.2","א דע, כי לראות במפלתם של רשעים אי אפשר אלא עלידי בחינת ארץ ישראל, בבחינת (תהילים ק״י:א׳): שב לימיני עד אשית אויביך הדם לרגליך. ימין, זה בחינת ארץ ישראל, בחינת בנימין, בן ימין, שנולד בארץ ישראל (כמובא בפירש""י פרשת וישלח):","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.2","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","על פי התורה חותם בתוך חותם בסימן כב עין שם כל התורה היטב והכלל לענינינו שאי אפשר להתקרב אל הקדשה כי אם על ידי עזות לעמד כנגד העזי פנים שבדור שעקר גדלתם והתנשאותם הוא רק על ידי עזות והם מונעים גדולים למי שחפץ באמת","k_of_n","8/40 words match (window=""על פי התורה חותם עין שם כל התורה היטב והכלל לענינינו שאי אפשר להתקרב אל הקדשה כי אם על ידי עזות לעמד כנגד העזי פנים שבדור שעקר גדלתם והתנשאותם הוא רק על ידי עזות והם מונעים גדולים למי שחפץ באמת"")","8/40","Likutei Moharan.22.1.4","https://www.sefaria.org.il/Likutei_Moharan.22.1.4","חותם הוא, כי יש מוכיחי הדור, והם בחינות רגלין, ונקראים רגלין, על שם שהם למודי ה', הינו שלומדין כביכול את ה', שנותנין לו עצות, והם הולכים בשליחותו לישראל, להוכיחם ולהחזירם להשם יתברך. ועל שם זה נקראים בחינות רגלין, על שם העצה, כמו שפרש רש""י (שמות יא) על ""וכל העם אשר ברגליך"": ההולכים אחר עצתך, ועל שם ההליכה, שהולכים בשליחותו להוכיח כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.3","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.3","Likutei Moharan.59","https://www.sefaria.org.il/Likutei_Moharan.59","קבועים בקדשתם כמו שאמר רבנו זכרונו לברכה על פסוק הנותר בירושל ם קדוש יאמר לו עין שם בהתורה היכל הקדש בסימן נט וכעין שאמרו רבותינו זכרונם לברכה לענין הלמוד אלף נכנסין למקרא יוצאים מהם מאה למשנה מאה נכנסין למשנה וכו עד שנשאר","k_of_n","6/40 words match (window=""קבועים בקדשתם כמו שאמר רבנו זכרונו לברכה על פסוק הנותר בירושל ם קדוש יאמר לו עין שם בהתורה היכל הקדש וכעין שאמרו רבותינו זכרונם לברכה לענין הלמוד אלף נכנסין למקרא יוצאים מהם מאה למשנה מאה נכנסין למשנה וכו עד שנשאר"")","6/40","Likutei Moharan.59.1.2","https://www.sefaria.org.il/Likutei_Moharan.59.1.2","כי זה האיש, המשתדל לקרב ולעשות נפשות, בבחינת (בראשית י״ב:ה׳): ואת הנפש אשר עשו בחרן, הוא בונה בחינת היכל הקדש. קדש זה בחינת (ישעיהו ד׳:ג׳): והנותר בירושלים קדוש יאמר לו; הינו זה שבני אדם נשארים דבוקים ביראה שלמה על ידו. אףעלפי שיש כמה וכמה שנפלו מקדשתם, אףעלפיכן מאלו שנשארו ביראה שלם, עלידיזה: קדוש יאמר לו; וזה בחינת קדש.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.3","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.3","Likutei Moharan.157","https://www.sefaria.org.il/Likutei_Moharan.157","שעדין לא נתגלה בהם צורת העוף וצריכים שמירה גדולה שלא להרסם ושלא לשברם בקל חס ושלום וזה שנתנו חז ל סימן הביצים ראשו אחד כד ועגל וראשו השני חד ועגל ואז אפשר שהם טהורים אבל שני ראשיה כדים או חדים הם בודאי","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.4","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.4","Likutei Moharan.219","https://www.sefaria.org.il/Likutei_Moharan.219","שיש להם עזות יותר מדאי או בשת יותר מדאי כנ ל אבל ראשה אחד כד וראשה אחד חד זה סימן שנמשך חיותו מזה שיש לו עזות ובשת שהוא סימן טהרה אבל עדין הוא ספק וכו כנ ל עד שיתברר שהוא מסטרא דטהרה כנ ל","k_of_n","8/40 words match (window=""שיש להם עזות יותר מדאי או בשת יותר מדאי כנ ל אבל ראשה אחד כד וראשה אחד חד זה סימן שנמשך חיותו מזה שיש לו עזות אבל עדין הוא ספק וכו כנ ל עד שיתברר שהוא מסטרא דטהרה כנ ל"")","8/40","Likutei Moharan.219.1.2","https://www.sefaria.org.il/Likutei_Moharan.219.1.2","וזה בחינת (תהילים צ״ג:א׳): ה' מלך גאות לבש – שכביכול בשביל לגלות מלכותו, הלביש וצמצם את גאות שלו, כדי שנוכל לסבל קבלת על מלכותו עלינו, אבל כשישראל חטאו לפניו, אזי כביכול הראה וגלה השם יתברך את גאותו וגאונו, ולא רצה להלבישו ולצמצמו עוד, וממילא נחרב הביתהמקדש, כי לא היה יכול לסבלו כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.1.2","Likutei Moharan%2C_Part_II.85","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.85","כי איתא בלקוטי תנינא בסימן פה המתחיל אגוזים הנקראים לוזים וכו עין שם כל הענין זה מבאר שם שביצים הם בבחינת לוזים שנגמרים בעשרים ואחד יום שהם כנגד עשרים ואחד יום שבין המצרים שמתאבלין בהם על חרבן בית המקדש שעל ידי זה","k_of_n","13/40 words match (window=""כי איתא בלקוטי תנינא המתחיל אגוזים הנקראים לוזים וכו עין שם כל הענין זה מבאר שם שביצים הם בבחינת לוזים שנגמרים בעשרים ואחד יום שהם כנגד עשרים ואחד יום שבין המצרים שמתאבלין בהם על חרבן בית המקדש שעל ידי זה"")","13/40","Likutei Moharan%2C_Part_II.85.2.1","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.85.2.1","וזהו שלשה שבועות שהם עשרים ואחד יום שבין המצרים, וכנגדו באילן לוז. בשביל זה נוהגין לאכל ביצה בסעדה המפסקת בתשעה באב, כי הביצה נגמרת בעשרים ואחד יום, כמאמר חכמינו זכרונם לברכה (בכורות ה): תרנגלת מולדת לעשרים ואחד יום וכו', וכנגדו באילן לוז. וזהו העצם לוז שיש בערף אדם, שישאר אחר כליון הגוף, וממנו יתחדש בנין הגוף בשעת תחיתהמתים.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.2.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.2.1","Likutei Moharan.55","https://www.sefaria.org.il/Likutei_Moharan.55","וזהו בחינת סימני ביצים שמרמז בהם ענין זה כי שני ראשיהם כדים או שניהם חדים הוא בודאי סימן טמאה כי זה דרך הרשעים וכל הרחוקים מן האמת שכשנופל עליהם אבלות וצער ויסורין אינם מנחמים את עצמם כלל ואין מקוים לצאת משם כמו שנאמר לא","k_of_n","6/40 words match (window=""וזהו בחינת סימני ביצים שמרמז בהם ענין זה כי שני ראשיהם כדים או שניהם חדים כי זה דרך הרשעים וכל הרחוקים מן האמת שכשנופל עליהם אבלות וצער ויסורין אינם מנחמים את עצמם כלל ואין מקוים לצאת משם כמו שנאמר לא"")","6/40","Likutei Moharan.55.3.1","https://www.sefaria.org.il/Likutei_Moharan.55.3.1","ג כי הרשעים ממשיכים בחינת רע עין על שונאיהם, בחינת (ברכות ז:): ולא עוד, אלא שרואה בשונאיו. והאדם נצול מרע עין הזה עלידי למוד זכות שלמד על הרשע. כי גם הקדושברוךהוא מלמד זכות על הרשע, בשביל להציל את הצדיק מרע עין של הרשע. וזה שאמרו חכמינו זכרונם לברכה (שם): ולא עוד אלא שזוכה בדין, שנאמר: מרום משפטיך מנגדו.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.3.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.3.1","Likutei Moharan.61","https://www.sefaria.org.il/Likutei_Moharan.61","ועל כן גם זה הסימן אין סומכין עליו לבד כמו שמבאר בשלחן ערוך כי את זה לעמת זה כי גם בהרשעים והעכו ם נמצא לפעמים בחינה זאת בתאות עולם הזה בעצמו שמצטער הרבה ביסורים בשביל להשיג איזה תאוה ממון או כיוצא בו ובשעת יסוריו","k_of_n","6/40 words match (window=""ועל כן סומכין עליו לבד כמו שמבאר בשלחן ערוך כי את זה לעמת זה כי גם בהרשעים והעכו ם נמצא לפעמים בחינה זאת בתאות עולם הזה בעצמו שמצטער הרבה ביסורים בשביל להשיג איזה תאוה ממון או כיוצא בו ובשעת יסוריו"")","6/40","Likutei Moharan.61.1.2","https://www.sefaria.org.il/Likutei_Moharan.61.1.2","א על ידי אמונת חכמים יכולין להוציא משפטנו לאור. כי משפט הוא עמודא דאמצעיתא, הינו בחינת דרך הממצע, שאינו נוטה לימין ולשמאל. וזה זוכין על ידי אמונת חכמים, שהוא בחינת (דברים י״ז:י״א): לא תסור מן הדבר אשר יגידו לך ימין ושמאל; ועל כן על ידי זה יוצא המשפט ברור כנ""ל, בבחינת: משפטי אמת.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.5.1","Likutei Moharan.14","https://www.sefaria.org.il/Likutei_Moharan.14","שבת שהוא מעין עולם הבא במרה נצטוו וכו עין שם וכמו שנאמר על מאמר רבה בר בר חנה פרסה ופלגא בסימן יד בהתורה להמשיך שלום וכו ועל כן מרמז בביצים הסימן הנ ל ראשו אחד כד ואחד חד כי זה עקר טהרתם","k_of_n","6/40 words match (window=""שבת שהוא מעין עולם הבא במרה נצטוו וכו עין שם וכמו שנאמר על מאמר רבה בר בר חנה פרסה ופלגא בהתורה להמשיך שלום וכו ועל כן מרמז בביצים הסימן הנ ל ראשו אחד כד ואחד חד כי זה עקר טהרתם"")","6/40","Likutei Moharan.14.2.3","https://www.sefaria.org.il/Likutei_Moharan.14.2.3","ועכשו הכבוד בגלות, כי עקר הכבוד אצל העכו""ם, ואנחנו בניישראל שפלים ונבזים, ולעתיד לבוא, שיתגלה כבודו מבין החשך, כמו שכתוב (ישעיהו מ׳:ה׳): ונגלה כבוד ה' וכו', כי אז יטו כלם לעבדו שכם אחד, אז יאמרו בגוים לכו ונלכה באור ה' (שם ב). וכבוד נקרא אור, כמו שכתוב (יחזקאל מ״ג:ב׳): והארץ האירה מכבודו:","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.5.1","Likutei Moharan.85","https://www.sefaria.org.il/Likutei_Moharan.85","עין שם וכמו שנאמר על מאמר רבה בר בר חנה פרסה ופלגא בסימן יד בהתורה להמשיך שלום וכו ועל כן מרמז בביצים הסימן הנ ל ראשו אחד כד ואחד חד כי זה עקר טהרתם שיקוו תמיד לישועה כמו שנאמר אותך קויתי כל היום וכו וכנ","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.1.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.1.1.1","Likutei Moharan.19","https://www.sefaria.org.il/Likutei_Moharan.19","על פי התורה תפלה לחבקוק בסימן י ט הנ ל בהלכות שחיטה הלכה ב","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.1.4.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.1.4.1","Likutei Moharan.13","https://www.sefaria.org.il/Likutei_Moharan.13","הלכה א שזה בחינת תרגום כנ ל שמשם בחינת החלב כנ ל ועל כן אין העוף טעון שחיטה כל כך כי אם בסימן אחד כנ ל ועל כן מותר מן התורה לבשלו בחלב וגם מדרבנן אף על פי שאסור יש כמה קולות בעוף אפילו","k_of_n","9/40 words match (window=""הלכה א שזה בחינת תרגום כנ ל שמשם בחינת החלב כנ ל ועל כן אין העוף טעון שחיטה כל כך כנ ל ועל כן מותר מן התורה לבשלו בחלב וגם מדרבנן אף על פי שאסור יש כמה קולות בעוף אפילו"")","9/40","Likutei Moharan.13.4.3","https://www.sefaria.org.il/Likutei_Moharan.13.4.3","נמצא, כשחכם מביא תורה כנ""ל, נמצא שמביא כח הראות של השגחת השם יתברך עלינו, וכל אחד, כפי קרובו אל התורה, כן השגחת השם יתברך עליו.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.2.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.2.1.1","Likutei Moharan%2C_Part_II.67","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.67","ה אלקיך לא תבשל גדי בחלב אמו כי כתב רבינו ז ל במאמר המתחיל בראשית לעיני כל ישראל בלקוטי מהר ן תנינא סימן ס ז שיש מאורי אור ויש מאורי אש וזה לעומת זה כשמתגברים מאורי אור אזי נכנעין מאורי אש וכן להיפך חס ושלום","k_of_n","18/40 words match (window=""ה אלקיך לא תבשל גדי בחלב אמו כי כתב רבינו ז ל במאמר המתחיל בראשית לעיני כל ישראל בלקוטי מהר שיש מאורי אור ויש מאורי אש וזה לעומת זה כשמתגברים מאורי אור אזי נכנעין מאורי אש וכן להיפך חס ושלום"")","18/40","Likutei Moharan%2C_Part_II.67.1.8","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.67.1.8","ויש מאורי אור ומאורי אש, והם זה לעמת זה; שכשיש כח למאורי אור, אזי נכנעין מאורי אש, וכן להפך, חס ושלום, שכשנכנעין ונסתלקין מאורי אור, חס ושלום, אזי מתגברין מאורי אש. וזה בחינת חרבן בית המקדש, בחינת (איכה א׳:י״ג): ממרום שלח אש בעצמתי; כי נתגברו מאורי אש עלידי שנסתלקו מאורי אור, בבחינת: רחל מבכה על בניה; כי הבכיה הוא בחינת הסתלקות מאורי אור כנ""ל, ואזי מתגברין, חס ושלום, מאורי אש, בחינת: ממרום שלח אש וכו', כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.3.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.3.1.1","Likutei Moharan.12","https://www.sefaria.org.il/Likutei_Moharan.12","על פי המאמר על פסוק ואיה השה לעולה בליקוטי מהר ן סימן י ב המובא בהלכות תולעים הלכה ג עיין שם היטב","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.4.1.3","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.4.1.3","Likutei Moharan.51","https://www.sefaria.org.il/Likutei_Moharan.51","אדמו ר ז ל מאד מאד ואמר שאסור להיות זקן הן חסיד זקן הן צדיק זקן וכו שיחות הר ן סימן נא כי לא מבעיא מי שתעה מדרך הישר לגמרי ועושה מה שעושה רחמנא ליצלן כל אחד כפי מה שיודע בנפשו ונדמה","k_of_n","6/40 words match (window=""אדמו ר ז ל מאד מאד ואמר שאסור להיות זקן הן חסיד זקן הן צדיק זקן וכו שיחות הר ן כי לא מבעיא מי שתעה מדרך הישר לגמרי ועושה מה שעושה רחמנא ליצלן כל אחד כפי מה שיודע בנפשו ונדמה"")","6/40","Likutei Moharan.51.2.5","https://www.sefaria.org.il/Likutei_Moharan.51.2.5","ובשביל זה לעתיד לבוא יתבטל הרע, ויתבטל ההתנגדות, ויתבטל הדמעות, כמו שכתוב (ישעיה יא): לא ירעו וכו', הינו בטול הרע. וכתיב (שם): וגר זאב עם כבש ונמר עם גדי וכו', הינו בחינת בטול ההתנגדות. וכתיב (שם כה): ומחה ה' אלקים דמעה מעל כל פנים; הינו בטול הדמעות, שהם בחינת שקר כנ""ל, כי אז יהיה ה' אחד ושמו אחד, שהוא כלו טוב, כלו אמת כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.4.1.6","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.4.1.6","Likutei Moharan.54","https://www.sefaria.org.il/Likutei_Moharan.54","מה שהוא שיתקרב אליו יתברך ממקום שהוא שם בעת ההוא וכמו שכתב אדמו ר ז ל בהתורה ויהי מקץ זכרון בסימן נד עין שם מה שכתוב שם שהשם יתברך מצמצם עצמו מאין סוף עד אין תכלית ומרמז לכל אחד ואחד רמזים כפי","k_of_n","8/40 words match (window=""מה שהוא שיתקרב אליו יתברך ממקום שהוא שם בעת ההוא וכמו שכתב אדמו ר ז ל בהתורה ויהי מקץ זכרון עין שם מה שכתוב שם שהשם יתברך מצמצם עצמו מאין סוף עד אין תכלית ומרמז לכל אחד ואחד רמזים כפי"")","8/40","Likutei Moharan.54.2.3","https://www.sefaria.org.il/Likutei_Moharan.54.2.3","וכל יום יש בו מחשבה דבור ומעשה, והקדוש ברוךהוא מצמצם אלקותו מאין סוף עד אין תכלית, עד נקדת המרכז של עולם הגשמי שעומד עליו, ומזמין לו לכל אדם מחשבה דבור ומעשה, לפי היום ולפי האדם ולפי המקום, ומלביש לו בזאת המחשבה דבור ומעשה, שמזמין לו רמזים כדי לקרבו לעבודתו.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.4.2.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.4.2.1","Likutei Moharan.123","https://www.sefaria.org.il/Likutei_Moharan.123","את חכמתם ודעתם שיש להם מכבר שיסלקו דעתם מעצמם כאלו אין להם שום שכל כלל כמו שפרש רבנו זכרונו לברכה בסימן קכג על פסוק עם נבל ולא חכם עמא דקבילו אוריתא ולא חכימו שאי אפשר להתקרב לצדיקי אמת ואל התורה כי אם","k_of_n","8/40 words match (window=""את חכמתם ודעתם שיש להם מכבר שיסלקו דעתם מעצמם כאלו אין להם שום שכל כלל כמו שפרש רבנו זכרונו לברכה על פסוק עם נבל ולא חכם עמא דקבילו אוריתא ולא חכימו שאי אפשר להתקרב לצדיקי אמת ואל התורה כי אם"")","8/40","Likutei Moharan.123.1.1","https://www.sefaria.org.il/Likutei_Moharan.123.1.1","העקר והיסוד, שהכל תלוי בו – לקשר עצמו להצדיק שבדור, ולקבל דבריו על כל אשר יאמר כי הוא זה, דבר קטן ודבר גדול. ולבלי לנטות, חס ושלום, מדבריו ימין ושמאל, כמו שאמרו רבותינו זכרונם לברכה (ספרי פ' שופטים): אפלו אומר לך על ימין שמאל וכו'; ולהשליך מאתו כל החכמות, ולסלק דעתו כאלו אין לו שום שכל בלעדי אשר יקבל מהצדיק והרב שבדור. וכל זמן שנשאר אצלו שום שכל עצמו, אינו בשלמות, ואינו מקשר להצדיק.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.4.3.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.4.3.1","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","והבשר הם בחינת שני מיני ברורים שנמשכין משני דורות ועל כן אסור לערבם יחד כי מבאר בהתורה חותם בתוך חותם בסימן כב שיש בחינת נעשה ונשמע שהם בחינת שני הכתרים שזכו ישראל בשעת קבלת התורה ונעשה ונשמע הם בחינת נגלה ונסתר תורה","k_of_n","9/40 words match (window=""והבשר הם בחינת שני מיני ברורים שנמשכין משני דורות ועל כן אסור לערבם יחד כי מבאר בהתורה חותם בתוך חותם שיש בחינת נעשה ונשמע שהם בחינת שני הכתרים שזכו ישראל בשעת קבלת התורה ונעשה ונשמע הם בחינת נגלה ונסתר תורה"")","9/40","Likutei Moharan.22.1.5","https://www.sefaria.org.il/Likutei_Moharan.22.1.5","וכשהשם יתברך גוזר גזרדין בעולם, והדין הוא התורה, כי צריך להיות דין תורה, ומחמת שהם למודי ה', הוא מתיעץ עמהם, ומגלה להם הדיןתורה שנגזר על הדור, והם מכסים זה הדיןתורה וחותמין אותו, בבחינת (שיר השירים ד׳:י״ב): מעין חתום, שלא יינקו ממנו החיצונים, שלא יהיה נעשה ממנו, חס ושלום, דין אכזרי. וזה בחינת (ישעיהו ח׳:ט״ז): חתום תורה בלמדי; הינו, בלמודי ה' נחתם הדיןתורה, שלא יינקו ממנו החיצונים.","not_needed","","",""
"Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Meat and Milk.4.4.1","https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Meat_and_Milk.4.4.1","Likutei Moharan.21","https://www.sefaria.org.il/Likutei_Moharan.21","בחינת חלישות הדעת וכן מרמז בדברי רבנו זכרונו לברכה במקום אחר שחלב הוא בחינת בושה עין בהתורה עתיקא טמיר וסתים בסימן כא עין שם מה שמבאר באות ז על פסוק תכלם שבעת ימים כי הכלמה אזיל סומקא ואתי חורתא הינו דם נעכר","k_of_n","8/40 words match (window=""בחינת חלישות הדעת וכן מרמז בדברי רבנו זכרונו לברכה במקום אחר שחלב הוא בחינת בושה עין בהתורה עתיקא טמיר וסתים עין שם מה שמבאר באות ז על פסוק תכלם שבעת ימים כי הכלמה אזיל סומקא ואתי חורתא הינו דם נעכר"")","8/40","Likutei Moharan.21.3.2","https://www.sefaria.org.il/Likutei_Moharan.21.3.2","כי רוחהקדש הוא שפע אלקי. וסכה הזאת היא בא עלידי שבעה עננים, הינו בחינת שבעת הנרות כנ""ל, שעלידם האדם משיג פני המנורה, הינו סכה, הינו שפע אלקי. ורוחהקדש נקרא על שם החכמה, שהיא רוח חכמה הבא מקדש, כידוע.","not_needed","","",""
