RefA,RefALink,RefB,RefBLink,Snippet
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.3.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.3.1.3",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"ה האמתיות, שהיא בחינת אדם. כמובא במאמר ('דרשו' סימן לז), שחכמות חיצוניות כנגד חכמות התורה הם בבחינת בהמה כנגד אדם וע"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.3.4.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.3.4.1",Likutei Moharan.330,https://www.sefaria.org.il/Likutei_Moharan.330,"גדם בבחינת מצח הנחש שהוא כנגד מצח הרצון. ועל-כן הסימן של דגים טהורים הוא קשקשים זה בחינת כח הצדקה שמקבלין, שעל-ידי-ז"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.3.5.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.3.5.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"רצונו יתברך (כמבאר במקום אחר ). ועל-כן הסנפירין לבד אינם סימן טהרה כל זמן שאין להם קשקשת, כי אף-על-פי שמתגלה בהם בחינת רצון, א"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.3.5.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.3.5.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"כלו עדין כנ""ל, אבל כל שיש לו קשקשת יש לו סנפיר והוא עקר סימן טהרה, כי העקר הוא הקשקשים הנמשכין מבחינת צדקה שהם מגנים ממצח ה"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.1.1",Likutei Moharan%2C_Part_II.15,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.15","רה סנפיר? משום יגדיל תורה ויאדיר, על-פי מה שנאמר בלקוטי תנינא בסימן טו, עין שם כל התורה:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.1.3",Likutei Moharan.16,https://www.sefaria.org.il/Likutei_Moharan.16,"בשם דג, כמו שכתוב, ""וידגו לרב"", (כמו שאמר רבנו זכרונו לברכה בסימן טז), כי דגים גדולן במים שהם בחינת צדקה, שזהו בחינת הצדיק שכל"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.1.4",Likutei Moharan.417,https://www.sefaria.org.il/Likutei_Moharan.417,"צדיקים לדבר גדולות ונפלאות והכל שקר כנ""ל. ועל-כן הסימן שביניהם הוא סנפיר וקשקשת, והעקר הוא קשקשת, כי כל שיש לו קשקשת וכו"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.1.4",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"נת צדק לבשתי, בחינת וילבש צדקה כשריון. ועל-כן הקשקשים הם סימן טהרה, כי הם מרמזין שנמשך עליהם כח הצדקה דקדשה שמגנת ומצלת "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.2.1",Likutei Moharan.12,https://www.sefaria.org.il/Likutei_Moharan.12,"ר התפארות כמו הצדיקים האמתיים ממש כנ""ל. ועקר הסימן הוא קשקשים, שהם הלבוש להגן בחינת שריון קשקשים, כי השקרנים אין "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.3.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.3.2",Likutei Moharan.330,https://www.sefaria.org.il/Likutei_Moharan.330,"נפיר נכתב רק למען יגדיל תורה ויאדיר, הינו שהתורה הודיעה לנו הסימן של סנפיר אף-על-פי שהעקר הוא קשקשת, אבל הוא בשביל יגדיל תורה וכו'"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.3.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.3.2",Likutei Moharan.42,https://www.sefaria.org.il/Likutei_Moharan.42,"ם ומעשיהם אינו פשוט, אלא יש בהם רזין, כמו שמבאר (בסימן מב), שכל זה הוא בחינת יגדיל תורה ויאדיר כנ""ל:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.4.3.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.4.3.3",Likutei Moharan.338,https://www.sefaria.org.il/Likutei_Moharan.338,"יר, שמתפארין עצמן גם כן בגדולות ונפלאות כנ""ל. על-כן עקר הסימן לבוש קשקשים כנ""ל, אבל אף-על-פי-כן כתבה התורה בסימני טהרה, ""כל אשר "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.1.2",Likutei Moharan%2C_Part_II.5,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.5","על-פי התורה 'תקעו אמונה' בלקוטי תנינא סימן ה, עין שם:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.1.4",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219," וזה בחינת הקשקשים שהם עקר הסימן טהרה של הדגים שגדלים במימי הדעת, כי זה הפסוק, ""גאוה אפיקי מגנים"" נ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.1.4",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"כמובן כל זה בהתורה הנ""ל). וזה בחינת הקשקשים של הדגים שהם סימן טהרה שנקראים מגנים בחינת גאוה אפיקי מגנים הנ""ל, כי הם בחינת הלבו"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.1.4",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"ם, בחינת צמצום המחין שנמשך מבחינת המגנים הנ""ל, שזהו עקר סימן טהרה של הדגים שגדלים במים שלא ינקו מבחינת רבוי אור, חס ושלום, וכ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.2.1",Likutei Moharan.12,https://www.sefaria.org.il/Likutei_Moharan.12,"רה, שמשם כל העצות בחינת תרי""ג עטין דאוריתא. ועל-כן עקר הסימן הוא קשקשת, כי כל שיש לו קשקשת יש לו סנפיר. ויש שיש לו סנפיר ו"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.2.1",Likutei Moharan.1205,https://www.sefaria.org.il/Likutei_Moharan.1205,"ת יש לו סנפיר. ויש שיש לו סנפיר ואין לו קשקשת, כי כשיש לו סימן הקשקשת, שנמשך מתקון המחין הנ""ל, בודאי כבר יש לו סנפיר שנמשך מת"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.2.1",Likutei Moharan.1200,https://www.sefaria.org.il/Likutei_Moharan.1200,"ין, כי לא זכה לתקון השני, שהוא תקון המחין,ועל-כן העקר הוא סימן קשקשת, שנמשך מתקון המחין, שזה סימן שבודאי יש לו גם סנפיר שנמש"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Fish.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Fish.5.2.1",Likutei Moharan.323,https://www.sefaria.org.il/Likutei_Moharan.323,"ן העקר הוא סימן קשקשת, שנמשך מתקון המחין, שזה סימן שבודאי יש לו גם סנפיר שנמשך מתקון העצה, כי בלא תקון העצה אי אפשר"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.1.1",Likutei Moharan.19,https://www.sefaria.org.il/Likutei_Moharan.19,"על-פי התורה 'תפלה לחבקוק' בסימן יט הנ""ל בהלכות שחיטה הלכה ב הנזכר לעיל:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.1.2",Likutei Moharan.67,https://www.sefaria.org.il/Likutei_Moharan.67,"נפשות דקדשה הם בכבוד, כמו שאמר רבנו, נרו יאיר, (בסימן סז), שזה בחינת שלמות לשון הקדש, בחינת שמירת הברית ששם הכבוד (כ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.1.2",Likutei Moharan.33,https://www.sefaria.org.il/Likutei_Moharan.33,"תפי שתים, פת באפריקי שתים, וכמובא בדברי רבנו (בסימן לג), אבל עשו הוא אדום, הוא נקרא בזוי מאד כנ""ל, שאין לו כתב ולשון כלל"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.2.1",Likutei Moharan.72,https://www.sefaria.org.il/Likutei_Moharan.72,"בכל בחינת היצר הרע, כמובא בדברי רבנו, נרו יאיר, בסימן עב, שהוא נסרך ונדבק ומסתבך בכל דבר שבקדשה ומכביד מאד מאד ב"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.2.1",Likutei Moharan.189,https://www.sefaria.org.il/Likutei_Moharan.189,"הם בחינת עצבות ועצלות, בחינת עפר, כמו שפרש רבנו (בסימן קפט). כנראה בחוש שהשקצים ורמשים הם בתכלית העצלות והעצבות וחיות"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.1.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.1.3.1",Likutei Moharan.28,https://www.sefaria.org.il/Likutei_Moharan.28,"א בחינת הקרבת התמיד, עין במאמר, בני לן ביתא וכו' (בסימן כח):"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.2.4.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.2.4.1",Likutei Moharan%2C_Part_II.7,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.7","בנו בפסוק, ""ואתה נותן להם את אכלם בעתו"", עין שם (בלקוטי תנינא סימן ז). כי האכילה באה על-ידי הגשמים, והכל נמשך על-ידי בחינת 'בעתו',"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.3.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.3.1.2",Likutei Moharan%2C_Part_II.12,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.12","כשאדם הולך אחר שכלו וחכמתו' וכו' בלקוטי תנינא (סימן יב), עין שם כל המאמר כלו היטב, כי הוא דבר עמק מאד מאד:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.4.2.1",Likutei Moharan%2C_Part_II.8,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8","ת עשר מדרגות של נבואה. (כמו שמבאר בהתורה תקעו ג בלקוטי תנינא סימן ח). ואי אפשר לכנס למימי הדעת לדעת את ה', כי אם על-ידי התורה שהוא בח"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.4.2.1",Likutei Moharan.189,https://www.sefaria.org.il/Likutei_Moharan.189,"א בחינת עצבות ועצלות, כמו שאמר רבנו זכרונו לברכה (בסימן קפט לקוטי חלק א), כי עקר התגברות היצר הרע הוא בפגם הברית, חס ושלו"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.4.2.1",Likutei Moharan.24,https://www.sefaria.org.il/Likutei_Moharan.24,"ה מיני נגינה. וכן כתב רבנו זכרונו לברכה, במקום אחר (בסימן כד לקוטי חלק א); שעקר גלות השכינה הוא עצבות וכו' וכן בכמה מקומות. "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.4.7.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.4.7.2",Likutei Moharan%2C_Part_II.8,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8"," מה שאמר רבנו, זכרונו לברכה, בהתורה תקעו תוכחה (סימן ח, לקוטי תנינא) מענין הבעל כח שמתפלל בכונה תפלה בבחינת ד"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Insects.4.8.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Insects.4.8.1",Likutei Moharan.64,https://www.sefaria.org.il/Likutei_Moharan.64,"דוע, ובתחלה צריך שתעין היטב בהתורה בא אל פרעה (בסימן סד, לקוטי חלק א).ועין עוד מה שמצאתי מכתב יד רבנו, זכרונו לברכה ב"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.1.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.1.1.1",Likutei Moharan.19,https://www.sefaria.org.il/Likutei_Moharan.19,על-פי התורה 'תפלה לחבקוק' בסימן יט בלקוטי חלק א:
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.1.1.2",Likutei Moharan.26,https://www.sefaria.org.il/Likutei_Moharan.26,", כמו שפרש רבנו, נרו יאיר, על רציצא דמית בבעותה (סימן כו) מלשון צלותה ובעותה שהוא לשון ביעתא, כי הביעים הם קדם ההויה, ד"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.1.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.1.1.3",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219, וזה בחינת סימן טהרה של הביצים כשראשה אחד כד וראשה אחד חד זה בחינת קצר מלמעלה ור
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.1.2",Likutei Moharan%2C_Part_II.28,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.28"," נרו יאיר, על פסוק אכתב לו רבי תורתי כמו זר נחשבו (בלקוטי תנינא סימן כח), שמי שיודע איזה תורה נתנה לכתב ואיזה לא נתנה לכתב, הוא יכול ל"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.1.3",Likutei Moharan.156,https://www.sefaria.org.il/Likutei_Moharan.156,"יתא שם, שביצים הם בחינת אפנים, בחינת עשיה, ועל-כן אין שום סימן מועיל להכיר בין ביצים טהורות לטמאות, כי זה ידוע שמינים טהורים ומינים טמ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.1.3",Likutei Moharan.156,https://www.sefaria.org.il/Likutei_Moharan.156,"שבכתב ששם יש גם להעכו""ם איזה אחיזה כנ""ל. על-כן אין שום סימן מועיל בהם להכירם שהם טהורים, כי שם קשה להכיר סטרא דישראל שהוא בח"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.1.3",Likutei Moharan.305,https://www.sefaria.org.il/Likutei_Moharan.305,"ן ביצים שהם בבחינת מקרא בחינת עשיה אין מועיל בהם שום הכר סימן להכירם שהם טהורים, כי שם בבחינת מקרא אי אפשר להכיר בין טהור לטמא, בין "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"ת סימני ביצים, דהינו ראשה אחד כד וראשה אחד חד, הוא סימן טהרה. שני ראשיה כדין או חדין הוא בודאי טמא, כי באמת ישראל אף-על-פי"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"פה, כי כלו אחד כנ""ל. וזה בחינת ראשה אחד כד ואחד חד שהוא סימן טהרה. זה רמז שהוא מסטרא דקדשה שהוא בחינת התורה שבכתב ובעל פה א"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.1",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"ורה שבעל פה כנ""ל. ועל-כן ראשה אחד כד וראשה אחד חד הוא סימן טהרה, כי זה רמז על קדשת ישראל שהם מיחדין שתי התורות ונאחזין בשנ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.1",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"כי כלו אחד כנ""ל. אבל שני ראשיה כדין ושני ראשיה חדין הוא סימן טמאה, כי זה בחינת סטרא דעכו""ם, שהם בחינת נרגן מפריד אלוף, שהם בחינ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"ו חד כנ""ל. וזה בחינת שני ראשיה כדין או שני ראשיה חדין שהוא סימן טמאה, מאחר שאין שם בחינת סימן התקשרות שתי הבחינות הנ""ל, שהם כ""ד ו"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.1411,https://www.sefaria.org.il/Likutei_Moharan.1411," כדין או שני ראשיה חדין שהוא סימן טמאה, מאחר שאין שם בחינת סימן התקשרות שתי הבחינות הנ""ל, שהם כ""ד וח""ד כנ""ל, רק כל אחד בפני עצמו, שז"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"שבכתב לבד בלי חבור תורה שבעל פה הקדושה שלנו, הוא בחינת סימן טמאה, כי לא זכה נעשה לו סם המות, כי מי שרוצה לקבל מתורה שבכתב לבד "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"ה, הוא מהפך דברי אלקים חיים ונעשה לו סם המות. ועל-כן הוא סימן טמאה. וכן שני ראשיה חדין, הינו תורה שבעל פה לבד בלי חבור תורה שב"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"ב המתהפכת, בחינת שני ראשיה חדין כנ""ל, ועל-כן הוא גם כן סימן טמאה, אבל ראשה אחד כד וראשה אחד חד שזה בחינת חבור שתי התורות כנ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.2.2.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.2.2.2",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"ורה שבכתב ותורה שבעל פה, כי באמת כלו אחד. ועל-כן הוא סימן טהרה כנ""ל. אבל אסור לסמך על הסימנים לבד כי שם אי אפשר להבחין ולהכי"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.1.1",Likutei Moharan.30,https://www.sefaria.org.il/Likutei_Moharan.30,"על-פי המאמר 'מישרא דסכינא' וכו' בלקוטי הראשון סימן ל, עין שם כל המאמר כלו מראשו לסופו:"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.3.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.3.1",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"'. וחכמות חיצוניות הם בחינת בהמה, כמבאר במקום אחר (סימן לז). כי חכמות שלהם הם בחינת כסילות, בהמיות, כי מי יודע רוח בני הא"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.5.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.5.1",Likutei Moharan.112,https://www.sefaria.org.il/Likutei_Moharan.112,"לת אותו, כי עקר התורה על-ידי עזות דקדשה וכו' וכו'. וזה בחינת סימן הביצה שהוא ביעי בלשון תרגום בחינת צלותא ובעותא, ראשו אחד כד זה בחינ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.6.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.6.1",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"ל כנ""ל. ועל-כן שני ראשיה כדין או שני ראשיה חדין, הוא בודאי סימן טמאה, כי שני ראשיה כדין, זה בחינת אמונות כוזביות, שהוא כסילות לגמר"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.3.6.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.3.6.1",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"שיה חדין, זה בחינת שכל לבד, בלי אמונה ושני בחינות אלו הם סימן טמאה, כי עקר שלמות הקדשה הוא על-ידי אמונה ושכל, דהינו אמונה דקדש"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.2",Likutei Moharan.22,https://www.sefaria.org.il/Likutei_Moharan.22,על-פי התורה חותם בתוך חותם בסימן כב (עין שם כל התורה היטב). והכלל לענינינו; שאי אפשר להתקרב אל הק
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.3",Likutei Moharan.59,https://www.sefaria.org.il/Likutei_Moharan.59,"ירושל ם קדוש יאמר לו"", עין שם בהתורה ""היכל הקדש"" (בסימן נט). וכעין שאמרו רבותינו זכרונם לברכה לענין הלמוד, אלף נכנסין למק"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.3",Likutei Moharan.157,https://www.sefaria.org.il/Likutei_Moharan.157," להרסם ושלא לשברם בקל, חס ושלום, וזה שנתנו חז""ל סימן הביצים, ראשו אחד כד ועגל וראשו השני חד ועגל, ואז אפשר שהם טהורים, אבל"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.3",Likutei Moharan.330,https://www.sefaria.org.il/Likutei_Moharan.330,"רים, אבל שני ראשיה כדים או חדים, הם בודאי טמאים. זה רמז שעקר הסימן של המתחילים להתקרב שהם בבחינת ביצים הוא כשיש להם עזות דקדשה "
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.4",Likutei Moharan.788,https://www.sefaria.org.il/Likutei_Moharan.788," רק מלא עזות ואין בו בשת כלל, הוא גם כן בודאי טמא, כי זה סימן שהעזות שלו היא עזות דסטרא אחרא, שהוא בחינת עז פנים לגיהנום, כי עקר ה"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.4",Likutei Moharan.710,https://www.sefaria.org.il/Likutei_Moharan.710,"ת יותר מדאי כנ""ל. אבל ראשה אחד כד וראשה אחד חד, זה סימן שנמשך חיותו מזה שיש לו עזות ובשת שהוא סימן טהרה, אבל עדין הוא ספק וכ"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.4.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.4.1.4",Likutei Moharan.219,https://www.sefaria.org.il/Likutei_Moharan.219,"שה אחד חד, זה סימן שנמשך חיותו מזה שיש לו עזות ובשת שהוא סימן טהרה, אבל עדין הוא ספק וכו' כנ""ל, עד שיתברר שהוא מסטרא דטהרה כנ"""
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.1.2",Likutei Moharan%2C_Part_II.85,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.85","כי איתא בלקוטי תנינא (בסימן פה), המתחיל, אגוזים הנקראים לוזים וכו', עין שם כל הענין זה. מבאר שם;"
Likutei Halakhot%2C_Yoreh Deah%2C_Laws of Eggs.5.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Yoreh_Deah,_Laws_of_Eggs.5.2.1",Likutei Moharan.55,https://www.sefaria.org.il/Likutei_Moharan.55,"מז בהם ענין זה, כי שני ראשיהם כדים או שניהם חדים, הוא בודאי סימן טמאה, כי זה דרך הרשעים וכל הרחוקים מן האמת שכשנופל עליהם אבלות וצ"
